identifier,Prefname,definition,notes,altLabel,source,type
/object-class/agent,Agent,"An entity that bears some form of responsibility for an activity taking place, for the existence of an entity, or for another agent's activity.",,,https://www.w3.org/TR/prov-o/#Agent,
/object-class/borehole-casing,Borehole Casing,Characterization of casing pipe used for borehole engineering. ,,Borehole Casing,SMR analysis,information object
/object-class/borehole-collar,Borehole Collar,"The location at which a borehole trace originates. Might be within a well, along an existing borehole trace, or in the subsurface, e.g. collared in a mine tunnel",,,SMR analysis,feature
/object-class/borehole-intercept,Borehole Intercept,A sampling feature  whose feature of interest is a site at a particular single depth in a borehole.,,Borehole Lithology Intercept,NGDS,sampling feature
/object-class/borehole-interval,Borehole Interval,A sampling feature  whose feature of interest is the interval of material penetrated by a borehole between two specified depths.,,Borehole Lithology Interval,NGDS,sampling feature
/object-class/borehole-temperature-observation,Borehole Temperature Observation,subsurface temperature measurement made in a borehole,,Borehole Temperature Observation,NGDS,observation
/object-class/event,Event,"A entity that has a temporal extent or position, and an associated process or activity. ",,,SMR analysis,temporal object
/object-class/geologic-contact-feature,Geologic Contact Feature,A mapped feature that represents the outcrop trace of a geologic boundary between two geologic units that is not a fault ,,Geologic Contact Feature,NGDS,mapped feature
/object-class/geologic-fault-feature,Geologic Fault Feature,A mapped feature that represents the outcrop trace of a geologic fault. ,,Shear Displacement Structure,NGDS,mapped feature
/object-class/geologic-reservoir-feature,Geologic Reservoir Feature,a subsurface body of material that contains fluids of interest that can be extracted.,,Geologic Reservoir,NGDS,geologic feature
/object-class/geologic-unit-feature,Geologic Unit Feature,"A body of material in the Earth whose complete and precise extent is inferred to exist (NADM GeologicUnit, Stratigraphic unit in sense of NACSN or International Stratigraphic Code), or a classifier used to characterize parts of the Earth (e.g. lithologic map unit like 'granitic rock' or 'alluvial deposit', surficial units like 'till' or 'old alluvium').  Includes both formal units (i.e. formally adopted and named in the official lexicon) and informal units (i.e. named but not promoted to the lexicon) and unnamed units (i.e. recognisable and described and delineable in the field but not otherwise formalised).",,Geologic Unit,http://www.geosciml.org/geosciml/4.0/documentation/html/,geologic feature
/object-class/geologic-unit-outcrop,Geologic Unit Outcrop,A mapped feature that represents the outcrop of a GeologicUnit on some map horizon.,,,,mapped feature
/object-class/geothermal-area-feature,Geothermal Area Feature,A region on the surface of the Earth characterized by the presence of features manifesting geothermal activity,,Geothermal Area,NGDS,mapped feature
/object-class/geothermal-direct-use-facility,Geothermal Direct Use Facility,basic description of facilities that utilize geothermal energy directly without transformation to electricity,,Direct Use Facility,NGDS,facility
/object-class/geothermal-power-plant-facility,Geothermal Power Plant Facility,A facility that generates electricity using geothermal energy.,,Geothermal Power Plant Facility,NGDS,facility
